site_id,code_national_ea,numero_ea,identification_ea_brute,commune,adresse_ou_nom_lieu,pays,longitude,latitude,x_l93,y_l93,periode,sous_periode,type_site,confiance,source,notes_parsing
PATRIARCHE-1201,1201,67 180 0010,201 / 67 180 0010 / HAGUENAU / EICHLACH /  / tumulus / Age du bronze - Age du fer,Haguenau,EICHLACH,FR,7.79,48.82,1051491.4354361177,6868434.927973071,indéterminé,indéterminé,tumulus,faible,Patriarche_EA_ageFer_20250806,chrono_brut=Age du bronze - Age du fer; type_brut=tumulus; georef=golden_commune_mean;precision=commune
PATRIARCHE-1198,1198,67 180 0013,198 / 67 180 0013 / HAGUENAU / FISCHERECK /  / tumulus / Age du bronze - Age du fer,Haguenau,FISCHERECK,FR,7.79,48.82,1051491.4354361177,6868434.927973071,indéterminé,indéterminé,tumulus,faible,Patriarche_EA_ageFer_20250806,chrono_brut=Age du bronze - Age du fer; type_brut=tumulus; georef=golden_commune_mean;precision=commune
PATRIARCHE-1196,1196,67 180 0014,196 / 67 180 0014 / HAGUENAU /  / FISCHERHUBEL ET DE KURZGELAEND / tumulus / Age du bronze - Age du fer,Haguenau,,FR,7.79,48.82,1051491.4354361177,6868434.927973071,indéterminé,indéterminé,tumulus,faible,Patriarche_EA_ageFer_20250806,lieu_dit=FISCHERHUBEL ET DE KURZGELAEND; chrono_brut=Age du bronze - Age du fer; type_brut=tumulus; georef=golden_commune_mean;precision=commune
PATRIARCHE-1195,1195,67 180 0017,195 / 67 180 0017 / HAGUENAU /  / HARTHOUSE / tumulus / Age du bronze - Age du fer,Haguenau,,FR,7.79,48.82,1051491.4354361177,6868434.927973071,indéterminé,indéterminé,tumulus,faible,Patriarche_EA_ageFer_20250806,lieu_dit=HARTHOUSE; chrono_brut=Age du bronze - Age du fer; type_brut=tumulus; georef=golden_commune_mean;precision=commune
PATRIARCHE-1191,1191,67 180 0021,191 / 67 180 0021 / HAGUENAU / Maegstrub A /  / tumulus / Age du fer,Haguenau,Maegstrub A,FR,7.79,48.82,1051491.4354361177,6868434.927973071,indéterminé,indéterminé,tumulus,faible,Patriarche_EA_ageFer_20250806,chrono_brut=Age du fer; type_brut=tumulus; georef=golden_commune_mean;precision=commune
PATRIARCHE-1186,1186,67 180 0026,186 / 67 180 0026 / HAGUENAU / SCHELMENHOFSTADT /  / tumulus / Age du bronze - Age du fer,Haguenau,SCHELMENHOFSTADT,FR,7.79,48.82,1051491.4354361177,6868434.927973071,indéterminé,indéterminé,tumulus,faible,Patriarche_EA_ageFer_20250806,chrono_brut=Age du bronze - Age du fer; type_brut=tumulus; georef=golden_commune_mean;precision=commune
PATRIARCHE-1184,1184,67 180 0028,184 / 67 180 0028 / HAGUENAU /  / SCHIRRHEINERWEG / tumulus / Age du bronze - Age du fer,Haguenau,,FR,7.79,48.82,1051491.4354361177,6868434.927973071,indéterminé,indéterminé,tumulus,faible,Patriarche_EA_ageFer_20250806,lieu_dit=SCHIRRHEINERWEG; chrono_brut=Age du bronze - Age du fer; type_brut=tumulus; georef=golden_commune_mean;precision=commune
PATRIARCHE-1180,1180,67 180 0032,180 / 67 180 0032 / HAGUENAU /  / WEISSENSEE - OBERFELD / tumulus / Age du bronze - Age du fer,Haguenau,,FR,7.79,48.82,1051491.4354361177,6868434.927973071,indéterminé,indéterminé,tumulus,faible,Patriarche_EA_ageFer_20250806,lieu_dit=WEISSENSEE - OBERFELD; chrono_brut=Age du bronze - Age du fer; type_brut=tumulus; georef=golden_commune_mean;precision=commune
PATRIARCHE-11403,11403,67 180 0047,1403 / 67 180 0047 / HAGUENAU / MAEGSTUB E /  / tumulus / Age du bronze - Age du fer,Haguenau,MAEGSTUB E,FR,7.79,48.82,1051491.4354361177,6868434.927973071,indéterminé,indéterminé,tumulus,faible,Patriarche_EA_ageFer_20250806,chrono_brut=Age du bronze - Age du fer; type_brut=tumulus; georef=golden_commune_mean;precision=commune
PATRIARCHE-11581,11581,67 180 0048,1581 / 67 180 0048 / HAGUENAU / MAEGSTUB C /  / tumulus / Age du bronze - Age du fer,Haguenau,MAEGSTUB C,FR,7.79,48.82,1051491.4354361177,6868434.927973071,indéterminé,indéterminé,tumulus,faible,Patriarche_EA_ageFer_20250806,chrono_brut=Age du bronze - Age du fer; type_brut=tumulus; georef=golden_commune_mean;precision=commune
