site_id,nom_site,commune,pays,type_site,longitude,latitude,x_l93,y_l93,periode,sous_periode,datation_debut,datation_fin,confiance,source,bibliographie
AKG-25844,Viesenhäuser Hof,Stuttgart-Mühlhausen,DE,OPPIDUM,9.733334,48.85,1193513.8976733997,6882160.767026116,HALLSTATT,,-725,-261,LOW,ArkeoGIS_LoupBernard_BW_20250806,Arch Ausgr 1982 : 81-83 (Biel)_
AKG-25846,Eschle,Stetten,DE,OPPIDUM,9.166667,48.416668,1155827.368147226,6830739.473381565,HALLSTATT,Ha C,-725,-531,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,Arch Ausgr 1983 : 81_ Kraus 1955 (local)
AKG-25847,Münsterberg,Breisach,DE,OPPIDUM,7.5666666,48.066666,1039962.0891007402,6783865.235481229,LA_TENE,,-725,-26,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,"Rieckhoff-Biel 2001 : 307-309_ Bender-Pauli-Stork 1993_ Vix et les 1993 : 389-396_ arch ausgr BDW 1986 : 180-184_ 1984 : 86 et sq_ arch inf BDW 1, 1987_ Bad Fundber 16, 1940 : 102_ ArchNaBa 15, 1975 : 3-8_ 51-52, 1994 : 17-25 synthèse et carte_ 64, 2001"
AKG-25848,Am Öchslemühlebach,Langenau,DE,OPPIDUM,7.7166667,47.65,1053879.4730588363,6738307.278848192,HALLSTATT,,-725,-431,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,Arch Ausgr 1986 et 1987
AKG-25849,Nonnenäcker,Stuttgart-Stammheim,DE,OPPIDUM,9.166667,48.833332,1152213.4889514334,6876920.083176669,LA_TENE,,-800,-26,LOW,ArkeoGIS_LoupBernard_BW_20250806,"I. Stork,Arch Ausgr 1982,67+ et 1986 79+/O.Paret 1921 urgesch.Württ, 67,84,181,211,223"
AKG-25850,Radberg,Herbrechtingen,DE,OPPIDUM,10.183333,48.633335,1228596.4609035584,6861076.962459172,TRANSITION,Ha D3 / LT A,-500,-431,LOW,ArkeoGIS_LoupBernard_BW_20250806,Arch Ausgr 1986_ Fouille Schloss Tü _ Arch Ausgr 1982-1983
AKG-25851,Am öchslemühlbach,Langenau,DE,OPPIDUM,10.133333,48.633335,1224927.184698136,6860743.410420106,LA_TENE,,-620,-151,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,"ArchAusgrBDW1984,1985,1986, 1987"
AKG-25852,siedlung,Hochdorf,DE,OPPIDUM,8.966666,48.9,1137015.7928338475,6883185.289438641,HALLSTATT,,-620,-431,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,"arch ausgr bdw 1989, 1990,1991, 1998 : 103-104_ Arch inf BdW 28"
AKG-25853,Hochdorf,Freiburg,DE,OPPIDUM,7.8333335,48.0,1060242.9717402162,6777652.463080664,HALLSTATT,Ha D1,-620,-531,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,$$
AKG-25854,Ohrenberg,Kirchheim-Benzenzimmern,DE,OPPIDUM,10.4,48.866665,1242066.5399547429,6888378.071694142,LA_TENE,,-620,-261,LOW,ArkeoGIS_LoupBernard_BW_20250806,arcgausgrBDW1989
AKG-25855,Siebenlinden,Rottenburg,DE,OPPIDUM,8.866667,48.466667,1133281.3071233686,6834592.085894488,HALLSTATT,,-620,-431,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,"ArchAusgrBdW1990, plan p 81_ 1998, 1999_ 2000 : 56-58 avec plan de maison"
AKG-25856,Schmiden,Fellbach,DE,OPPIDUM,9.25,48.833332,1158311.7756299598,6877400.54440963,LA_TENE,,-800,-26,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,"Fundbericht BdW 4, 1979 : 29+"
AKG-25857,Zähringer Burgberg,Gundelfingen,DE,OPPIDUM,7.866667,48.05,1062382.0562388976,6783350.706660233,LA_TENE,,-800,-26,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,Arch ausgr BdW 1991
AKG-25858,Heidentor,Egesheim,DE,OPPIDUM,8.866667,48.116665,1136168.8510444025,6795798.695700006,TRANSITION,Ha D3 / LT A,-500,-431,LOW,ArkeoGIS_LoupBernard_BW_20250806,
AKG-25859,Heidengraben,Grabenstetten,DE,OPPIDUM,9.466666,48.516666,1177044.9313054578,6843591.704666694,LA_TENE,,-500,-26,LOW,ArkeoGIS_LoupBernard_BW_20250806,"arc ausgr bdw  1981 :77sq_ 1993 plan p 112, 1996_ Rieckhoff 351-352 -plan 351_ KBdW : 352-358_ Th. Knopf Tübinger Vereinzur Vorderung der ur und Frühgeschichtliche Arcgäologie 1-1998 : 45-60_ Arch Ausgr BdW 1998 : 107-113 plan 109"
AKG-25860,Altenburg,Rheinau,DE,OPPIDUM,8.583333,47.666668,1118672.4317080854,6744394.869072637,LA_TENE,,-260,-26,MEDIUM,ArkeoGIS_LoupBernard_BW_20250806,Rieckhoff-Biel 2001 : 281-283_ arch ausgr BdW 1985 : 101-108_
AKG-25861,Rudersberg,Calw,DE,OPPIDUM,8.75,48.716667,1122658.2418600246,6861677.066032671,LA_TENE,,-800,-26,LOW,ArkeoGIS_LoupBernard_BW_20250806,"Biel 1987 : 226_ FBS NF 18/II, 1967 : 15"
