row_index,excel_row_ordinal,commune,nom_site,phase_index,action,site_id,matched_reason,coord_quality,periode,sous_periode
118,325,Dombrot-Le-Sec,"Les Moncel, Bois David",0,new,SITE-7d05a919c49a1517,aucune correspondance,ok,Hallstatt,Ha B2-B3
118,325,Dombrot-Le-Sec,"Les Moncel, Bois David",1,new,SITE-7d05a919c49a1517,aucune correspondance,ok,Hallstatt,Ha C
118,325,Dombrot-Le-Sec,"Les Moncel, Bois David",2,new,SITE-7d05a919c49a1517,aucune correspondance,ok,Hallstatt,Ha D1
119,326,Girmont,Girmont (nécropole),0,new,SITE-89c6cf7bc6e4187a,aucune correspondance,ok,Hallstatt,Ha D1
120,327,Liffol Le Grand,La Goulotte,0,new,SITE-ca8a48564ac2d3cb,aucune correspondance,ok,indéterminé,
121,328,Marainville-sur-Madon,Sous le chemin de Naviot,0,new,SITE-32e940b01f59fcf0,aucune correspondance,ok,Hallstatt,Ha C
121,328,Marainville-sur-Madon,Sous le chemin de Naviot,1,new,SITE-32e940b01f59fcf0,aucune correspondance,ok,Hallstatt,Ha D1
122,329,Martigny-Les-Bains,Bois de Courchepied,0,new,SITE-b87bdf872e79573a,aucune correspondance,ok,Hallstatt,Ha B2-B3
123,330,Martigny-Les-Gerbonvaux,Château Gaillard,0,new,SITE-02909993df8eef29,aucune correspondance,ok,Hallstatt,Ha B2-B3
124,331,Médonville,Au Grand Bois,0,new,SITE-ec65ef33a5b20f48,aucune correspondance,ok,Hallstatt,Ha C
124,331,Médonville,Au Grand Bois,1,new,SITE-ec65ef33a5b20f48,aucune correspondance,ok,Hallstatt,Ha D1
125,332,Norroy,Bois du Rond Buisson,0,new,SITE-2a19dc6c9e187209,aucune correspondance,ok,Hallstatt,Ha C
125,332,Norroy,Bois du Rond Buisson,1,new,SITE-2a19dc6c9e187209,aucune correspondance,ok,Hallstatt,Ha D1
126,333,Pierrefite,La Croix Ballot B,0,new,SITE-f9d4a1e539ed808e,aucune correspondance,ok,Hallstatt,Ha C
126,333,Pierrefite,La Croix Ballot B,1,new,SITE-f9d4a1e539ed808e,aucune correspondance,ok,Hallstatt,Ha D1
127,334,Pont-les-Bonfays,Bois Saint Michel,0,new,SITE-44f6e54c9b077589,aucune correspondance,ok,Hallstatt,Ha C
127,334,Pont-les-Bonfays,Bois Saint Michel,1,new,SITE-44f6e54c9b077589,aucune correspondance,ok,Hallstatt,Ha D1
128,335,Saint-Ouen -Les Parey,Bois Communal,0,new,SITE-39278fec0a42704b,aucune correspondance,ok,Hallstatt,Ha C
128,335,Saint-Ouen -Les Parey,Bois Communal,1,new,SITE-39278fec0a42704b,aucune correspondance,ok,Hallstatt,Ha D1
129,336,Sauville,Bois ce Chesnois -Forêt de Lochets,0,new,SITE-8bd6cd16487ba034,aucune correspondance,ok,Hallstatt,Ha D1
129,336,Sauville,Bois ce Chesnois -Forêt de Lochets,1,new,SITE-8bd6cd16487ba034,aucune correspondance,ok,Hallstatt,Ha D2
129,336,Sauville,Bois ce Chesnois -Forêt de Lochets,2,new,SITE-8bd6cd16487ba034,aucune correspondance,ok,Hallstatt,Ha D3
130,337,Vittel,Bois de la Voivre,0,new,SITE-aaf027fcfde18a94,aucune correspondance,ok,Hallstatt,Ha C
130,337,Vittel,Bois de la Voivre,1,new,SITE-aaf027fcfde18a94,aucune correspondance,ok,Hallstatt,Ha D1
131,338,Moncel-sur Seille,???,0,new,SITE-5cfa1b3c8c2d7eff,aucune correspondance,ok,Hallstatt,Ha C
131,338,Moncel-sur Seille,???,1,new,SITE-5cfa1b3c8c2d7eff,aucune correspondance,ok,Hallstatt,Ha D1
