site_id,id_proto,commune,lieu_dit,type_site,type_site_canon,periode,sous_periode,datation_1_brut,datation_2_brut,longitude,latitude,x_l93,y_l93,statut_fouille,confiance,source,bibliographie,structures_resume,remarques,ea,oa
PROTO-ALS-779,779,Turckheim,nan,mobilier,HABITAT,LA_TENE,,La Tène finale,,,,,,signalement,LOW,BdD_Proto_Alsace_xlsx,Zehner 1998,mobilier,nan,,
PROTO-ALS-780,780,Bischwihr,Muehlacker,habitat,HABITAT,LA_TENE,,La Tène finale,,7.44010929,48.10247698,1030327.0402243254,6787301.2217896255,fouille,LOW,BdD_Proto_Alsace_xlsx,Vergnaud 2013,fosses,nan,,
PROTO-ALS-781,781,Matzenheim,Les berges du Panama,habitat,HABITAT,LA_TENE,,La Tène finale,,7.627276,48.395317,1042329.7402176679,6820591.292009807,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,"fossés, bâtiments, fosses",nan,,
PROTO-ALS-782,782,Westhouse,Eichenloch,habitat,HABITAT,LA_TENE,,La Tène finale,,7.563122366666668,48.39504256666667,1037590.6843244943,6820284.636505087,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,"structure isolée, fosse",nan,,
PROTO-ALS-783,783,Bourgheim,Burggartenreben,habitat,HABITAT,LA_TENE,,La Tène finale,,7.4966558,48.4171755,1032538.6631456038,6822458.701865598,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,"fours de potiers, fosses, bâtiments",nan,,
PROTO-ALS-784,784,Schaeffersheim,La Chênaie,habitat,HABITAT,LA_TENE,,La Tène finale,,7.626775052,48.43188571,1042054.6851741578,6824646.907101762,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,"fossé, bâtiments, puits, fosses, ateliers",nan,,
PROTO-ALS-785,785,Erstein,Krebsrott,habitat,HABITAT,LA_TENE,,La Tène finale,,7.668064,48.432618,1045098.8018318288,6824907.818360197,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,fosses,nan,,
PROTO-ALS-786,786,Ottrot,Mont-Saint-Odile,habitat,HABITAT,LA_TENE,,La Tène finale,,,,,,fouille,LOW,BdD_Proto_Alsace_xlsx,Féliu 2008,Kulturschichte,nan,,
PROTO-ALS-787,787,Meistratzheim,Foegel,habitat,HABITAT,LA_TENE,,La Tène finale,,7.55024145,48.45184485,1036275.1430154378,6826533.0187547365,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,"fossé, puits, bâtiments, four de potier",nan,,
PROTO-ALS-788,788,Obernai,Neuen Brunnen,habitat,HABITAT,LA_TENE,,La Tène finale,,7.510225,48.468155,1033217.5503205671,6828173.398568801,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2017,"fossé, bâtiments, caves, ateliers",nan,,
PROTO-ALS-789,789,Hindisheim,Borot,habitat,HABITAT,LA_TENE,,La Tène finale,,7.627356499999999,48.460784155,1041909.4849138029,6827856.173400797,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,fossés,nan,,
PROTO-ALS-790,790,Rosheim,Molsheimer Gasse,habitat,HABITAT,LA_TENE,,La Tène finale,,7.468379,48.50364,1029906.1681931395,6831935.838771236,,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,"structure isolée, fosses",nan,,
PROTO-ALS-791,791,Illkirch-Graffenstaden,près de la ferme Schafhardt,mobilier,HABITAT,LA_TENE,,La Tène finale,,7.731711,48.50745,1049300.3163505227,6833491.192426646,signalement,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,mobilier,nan,,
PROTO-ALS-792,792,Grandfontaine,Le Donon,habitat,HABITAT,LA_TENE,,La Tène finale,,7.1641777,48.5124074,1007416.8082976004,6831681.35039696,fouille,MEDIUM,BdD_Proto_Alsace_xlsx,Féliu 2008,rempart,nan,,
PROTO-ALS-793,793,Geispolsheim,nan,mobilier,HABITAT,LA_TENE,,La Tène finale,,,,,,,LOW,BdD_Proto_Alsace_xlsx,Féliu 2008,mobilier,nan,,
